;mean_fit_time;std_fit_time;mean_score_time;std_score_time;param_dropout;param_window;params;split0_test_f1_macro;split1_test_f1_macro;split2_test_f1_macro;split3_test_f1_macro;split4_test_f1_macro;split5_test_f1_macro;split6_test_f1_macro;split7_test_f1_macro;split8_test_f1_macro;split9_test_f1_macro;mean_test_f1_macro;std_test_f1_macro;rank_test_f1_macro;split0_train_f1_macro;split1_train_f1_macro;split2_train_f1_macro;split3_train_f1_macro;split4_train_f1_macro;split5_train_f1_macro;split6_train_f1_macro;split7_train_f1_macro;split8_train_f1_macro;split9_train_f1_macro;mean_train_f1_macro;std_train_f1_macro;split0_test_accuracy;split1_test_accuracy;split2_test_accuracy;split3_test_accuracy;split4_test_accuracy;split5_test_accuracy;split6_test_accuracy;split7_test_accuracy;split8_test_accuracy;split9_test_accuracy;mean_test_accuracy;std_test_accuracy;rank_test_accuracy;split0_train_accuracy;split1_train_accuracy;split2_train_accuracy;split3_train_accuracy;split4_train_accuracy;split5_train_accuracy;split6_train_accuracy;split7_train_accuracy;split8_train_accuracy;split9_train_accuracy;mean_train_accuracy;std_train_accuracy;split0_test_f1_class_1;split1_test_f1_class_1;split2_test_f1_class_1;split3_test_f1_class_1;split4_test_f1_class_1;split5_test_f1_class_1;split6_test_f1_class_1;split7_test_f1_class_1;split8_test_f1_class_1;split9_test_f1_class_1;mean_test_f1_class_1;std_test_f1_class_1;rank_test_f1_class_1;split0_train_f1_class_1;split1_train_f1_class_1;split2_train_f1_class_1;split3_train_f1_class_1;split4_train_f1_class_1;split5_train_f1_class_1;split6_train_f1_class_1;split7_train_f1_class_1;split8_train_f1_class_1;split9_train_f1_class_1;mean_train_f1_class_1;std_train_f1_class_1;split0_test_f1_class_2;split1_test_f1_class_2;split2_test_f1_class_2;split3_test_f1_class_2;split4_test_f1_class_2;split5_test_f1_class_2;split6_test_f1_class_2;split7_test_f1_class_2;split8_test_f1_class_2;split9_test_f1_class_2;mean_test_f1_class_2;std_test_f1_class_2;rank_test_f1_class_2;split0_train_f1_class_2;split1_train_f1_class_2;split2_train_f1_class_2;split3_train_f1_class_2;split4_train_f1_class_2;split5_train_f1_class_2;split6_train_f1_class_2;split7_train_f1_class_2;split8_train_f1_class_2;split9_train_f1_class_2;mean_train_f1_class_2;std_train_f1_class_2;split0_test_f1_class_3;split1_test_f1_class_3;split2_test_f1_class_3;split3_test_f1_class_3;split4_test_f1_class_3;split5_test_f1_class_3;split6_test_f1_class_3;split7_test_f1_class_3;split8_test_f1_class_3;split9_test_f1_class_3;mean_test_f1_class_3;std_test_f1_class_3;rank_test_f1_class_3;split0_train_f1_class_3;split1_train_f1_class_3;split2_train_f1_class_3;split3_train_f1_class_3;split4_train_f1_class_3;split5_train_f1_class_3;split6_train_f1_class_3;split7_train_f1_class_3;split8_train_f1_class_3;split9_train_f1_class_3;mean_train_f1_class_3;std_train_f1_class_3;split0_test_f1_class_4;split1_test_f1_class_4;split2_test_f1_class_4;split3_test_f1_class_4;split4_test_f1_class_4;split5_test_f1_class_4;split6_test_f1_class_4;split7_test_f1_class_4;split8_test_f1_class_4;split9_test_f1_class_4;mean_test_f1_class_4;std_test_f1_class_4;rank_test_f1_class_4;split0_train_f1_class_4;split1_train_f1_class_4;split2_train_f1_class_4;split3_train_f1_class_4;split4_train_f1_class_4;split5_train_f1_class_4;split6_train_f1_class_4;split7_train_f1_class_4;split8_train_f1_class_4;split9_train_f1_class_4;mean_train_f1_class_4;std_train_f1_class_4;split0_test_f1_class_5;split1_test_f1_class_5;split2_test_f1_class_5;split3_test_f1_class_5;split4_test_f1_class_5;split5_test_f1_class_5;split6_test_f1_class_5;split7_test_f1_class_5;split8_test_f1_class_5;split9_test_f1_class_5;mean_test_f1_class_5;std_test_f1_class_5;rank_test_f1_class_5;split0_train_f1_class_5;split1_train_f1_class_5;split2_train_f1_class_5;split3_train_f1_class_5;split4_train_f1_class_5;split5_train_f1_class_5;split6_train_f1_class_5;split7_train_f1_class_5;split8_train_f1_class_5;split9_train_f1_class_5;mean_train_f1_class_5;std_train_f1_class_5
0;175,8086356;3,329233714;0,273449755;0,033662102;0,1;3;{'dropout': 0.1, 'window': 3};0,775268279;0,762365539;0,744526319;0,747194507;0,738486569;0,765311279;0,726493984;0,732490166;0,790014224;0,73535992;0,751751079;0,019596309;10;0,746975346;0,755637633;0,770266494;0,760047572;0,773145854;0,765377585;0,738406541;0,752379932;0,784223642;0,761598997;0,76080596;0,012660947;0,782608696;0,771428571;0,749068323;0,750310559;0,744099379;0,772670807;0,755279503;0,751552795;0,792546584;0,744099379;0,76136646;0,016296035;9;0,754037267;0,760938578;0,773222912;0,767011732;0,77515528;0,769772257;0,758178054;0,772532781;0,788129745;0,776535542;0,769551415;0,009478533;0,975308642;0,977272727;0,951515152;0,969283276;0,958990536;0,978593272;0,985590778;0,972307692;0,986486486;0,957928803;0,971327737;0,011254409;9;0,971530249;0,976904516;0,981404959;0,977657414;0,980975441;0,978052126;0,975661376;0,973764906;0,979875087;0,981158409;0,977698448;0,00315614;0,695;0,539568345;0,51369863;0,661290323;0,602006689;0,630630631;0,661616162;0,410714286;0,677165354;0,391666667;0,578335709;0,104457247;12;0,669249931;0,547770701;0,62614841;0,655441222;0,634412266;0,589996349;0,669367089;0,408788963;0,661543191;0,432351473;0,589506959;0,092049555;0,522088353;0,633136095;0,602409639;0,498113208;0,532894737;0,565055762;0,362745098;0,676923077;0,531835206;0,663636364;0,558883754;0,087907214;11;0,482046679;0,642013673;0,608695652;0,531486146;0,602086438;0,596885187;0,356955381;0,68654311;0,563004847;0,682384106;0,575210122;0,094357168;0,845588235;0,84457478;0,835164835;0,816199377;0,835227273;0,861445783;0,838323353;0,841176471;0,911854103;0,844290657;0,847384487;0,024010449;1;0,809033281;0,847044485;0,841566045;0,838095238;0,841322928;0,862582208;0,860796493;0,877330716;0,889036988;0,871170173;0,853797856;0,021965481;0,838356164;0,817275748;0,819843342;0,791086351;0,763313609;0,790830946;0,784194529;0,761329305;0,84272997;0,819277108;0,802823707;0,027451376;1;0,803016591;0,764454792;0,793517407;0,797557841;0,806932198;0,799372057;0,829252367;0,815471966;0,827658096;0,840930826;0,807816414;0,020720573
1;391,2545496;5,751744522;0,470252562;0,027640278;0,1;11;{'dropout': 0.1, 'window': 11};0,772055706;0,775139914;0,758760615;0,78210962;0,766789369;0,764487262;0,735744239;0,772476383;0,784032358;0,756364104;0,766795957;0,013431624;2;0,886538222;0,836001841;0,89398672;0,906410491;0,876567562;0,893167792;0,856332541;0,892775398;0,909675662;0,869362161;0,882081839;0,021750238;0,778881988;0,782608696;0,759006211;0,778881988;0,767701863;0,765217391;0,747826087;0,777639752;0,780124224;0,754037267;0,769192547;0,011690226;3;0,888060732;0,838785369;0,893443754;0,907384403;0,876604555;0,893029676;0,856590752;0,894547964;0,909592823;0,870117322;0,882815735;0,021282194;0,987951807;0,977011494;0,962732919;0,955017301;0,965517241;0,962732919;0,985590778;0,981481481;0,983388704;0,95483871;0,971626336;0,012162216;8;0,998268098;0,997561825;0,993797381;0,997608473;0,997580366;0,997577016;0,991567112;0,997926745;0,999314599;0,997929607;0,996913122;0,002230285;0,672316384;0,63003663;0,589403974;0,666666667;0,684745763;0,678571429;0,678899083;0,709333333;0,675078864;0,638297872;0,662335;0,032357034;2;0,818813131;0,730223124;0,812957158;0,801965231;0,801553672;0,825840826;0,807386183;0,817293456;0,848896435;0,795634174;0,806056339;0,029088498;0,560606061;0,722891566;0,699453552;0,72972973;0,653846154;0,62745098;0,57037037;0,580152672;0,670520231;0,662790698;0,647781201;0,058638869;4;0,769713613;0,793621013;0,825986079;0,830481111;0,808087731;0,804109104;0,77053407;0,753172329;0,846340617;0,809554974;0,801160064;0,028162017;0,838283828;0,782352941;0,774410774;0,791277259;0,795031056;0,803680982;0,77002584;0,809061489;0,820987654;0,804804805;0,798991663;0,019950354;6;0,93483621;0,85162477;0,929824561;0,959468903;0,892789012;0,928844151;0,875651042;0,956582147;0,93747817;0,887048692;0,915414766;0,034430181;0,801120448;0,76340694;0,767801858;0,767857143;0,73480663;0,75;0,673835125;0,782352941;0,770186335;0,721088435;0,753245586;0,0341255;9;0,911060059;0,806978471;0,907368421;0,942528736;0,88282703;0,909467865;0,8365243;0,938902313;0,91634849;0,856643357;0,890864904;0,042282377
2;484,8098575;4,945256499;0,499111772;0,011867771;0,1;15;{'dropout': 0.1, 'window': 15};0,776124401;0,794694618;0,758058579;0,786041698;0,768623108;0,765646463;0,736602297;0,761862471;0,764220249;0,767826758;0,767970064;0,014988873;1;0,929244025;0,943661075;0,892847181;0,923352893;0,902005493;0,935391934;0,909975457;0,900698821;0,909410153;0,929865548;0,917645258;0,016067304;0,780124224;0,801242236;0,765217391;0,780124224;0,770186335;0,766459627;0,742857143;0,763975155;0,767701863;0,766459627;0,770434783;0,014161491;1;0,929468599;0,944099379;0,896204279;0,923257419;0,901311249;0,9352657;0,908488613;0,901449275;0,911111111;0,929882678;0,91805383;0,015636617;0,975903614;0,977011494;0,9625;0,975609756;0,965517241;0,990654206;0,974358974;0,984423676;0,986754967;0,968553459;0,976128739;0,008675682;2;0,999306999;0,997910864;0,993762994;0,997613365;0,991441287;0,997926745;0,9986053;0,99827169;0,998971546;0,996558844;0,997036963;0,002388025;0,693181818;0,700296736;0,566523605;0,684057971;0,646616541;0,691428571;0,623287671;0,664383562;0,503937008;0,693009119;0,64667226;0,061842007;4;0,875850891;0,891042781;0,740210526;0,857240906;0,824658546;0,879740681;0,846685083;0,817600602;0,795734208;0,871739907;0,840050413;0,044129131;0,614285714;0,633093525;0,706730769;0,689230769;0,685863874;0,61589404;0,617210682;0,697247706;0,671532847;0,692957746;0,662404767;0,035841234;2;0,858836606;0,878279883;0,820908821;0,847399242;0,827369743;0,867320974;0,839694656;0,838334947;0,847296494;0,87170943;0,84971508;0,018064088;0,797250859;0,831746032;0,782608696;0,798701299;0,81547619;0,801223242;0,764705882;0,770949721;0,856287425;0,764890282;0,798383963;0,02832837;7;0,959147425;0,981929765;0,961842558;0,9664903;0,939315925;0,968957098;0,958596491;0,935821873;0,957075788;0,961181724;0,959035895;0,012737446;0,8;0,831325301;0,771929825;0,782608696;0,729641694;0,729032258;0,703448276;0,692307692;0,802588997;0,719723183;0,756260592;0,045053256;7;0,953078203;0,969142082;0,947511006;0,948020654;0,927241963;0,963014172;0,906295754;0,913464991;0,947972731;0,948137835;0,942387939;0,0193554
3;600,7014912;3,518382144;0,490147209;0,024443491;0,1;19;{'dropout': 0.1, 'window': 19};0,776489895;0,778663241;0,742669762;0,779875986;0,745376613;0,763759906;0,762313324;0,743019362;0,754902616;0,763083345;0,761015405;0,013647267;6;0,95882736;0,966888493;0,960386645;0,957431674;0,928100701;0,972265697;0,934858385;0,950811165;0,958799667;0,962096028;0,955046582;0,01304067;0,77515528;0,78136646;0,744099379;0,776397516;0,752795031;0,765217391;0,767701863;0,746583851;0,752795031;0,760248447;0,762236025;0,012362589;6;0,958730159;0,966873706;0,9605245;0,957763975;0,928502415;0,972256729;0,934989648;0,95100069;0,959006211;0,962180814;0,955182885;0,012948604;0,975460123;0,971428571;0,966360856;0,968858131;0,950920245;0,98136646;0,93258427;0,963414634;0,973684211;0,968553459;0,965263096;0,013319991;12;0,999306999;0,996873915;0,997588701;0,997953615;0,991108071;0,999654577;0,956194387;0,996897622;0,999657417;0,99931082;0,993454612;0,012649776;0,683229814;0,664516129;0,630914826;0,713091922;0,649006623;0,627986348;0,701388889;0,672839506;0,668604651;0,620915033;0,663249374;0,029570984;1;0,906985161;0,929811867;0,945678169;0,921957672;0,89348711;0,933237099;0,916925198;0,912411228;0,928091398;0,921212121;0,920979702;0,01389748;0,662721893;0,658682635;0,61829653;0,657627119;0,604026846;0,649425287;0,673139159;0,631944444;0,613861386;0,678851175;0,644857647;0,024798698;5;0,912062766;0,936393443;0,935701599;0,912293578;0,886257625;0,937767534;0,909215485;0,906372375;0,91639756;0,921938089;0,917440005;0,015313794;0,801393728;0,810996564;0,750788644;0,790123457;0,810126582;0,833333333;0,756578947;0,761363636;0,775;0,793103448;0,788280834;0,025560046;11;0,99032481;0,985896113;0,962516734;0,980542043;0,940472231;0,995850622;0,937591777;0,972736452;0,978230337;0,984991274;0,972915239;0,019074417;0,759643917;0,787692308;0,746987952;0,7696793;0,712802768;0,726688103;0,747875354;0,685534591;0,743362832;0,75399361;0,743426074;0,027613909;12;0,985457064;0,985467128;0,960448022;0,974411464;0,92917847;0,994818653;0,954365079;0,965638149;0,971621622;0,983027834;0,970443348;0,018179885
4;194,9036162;2,829253984;0,314306331;0,010685963;0,2;3;{'dropout': 0.2, 'window': 3};0,734236705;0,779762559;0,78752319;0,760647984;0,755564105;0,764447068;0,751420604;0,738662542;0,729283675;0,713775788;0,751532422;0,021780198;11;0,74781915;0,774090445;0,782981037;0,757241832;0,776418774;0,746893299;0,778812599;0,779937597;0,750244637;0,744142176;0,763858155;0,015077191;0,737888199;0,790062112;0,78757764;0,757763975;0,765217391;0,762732919;0,765217391;0,742857143;0,730434783;0,711801242;0,75515528;0,023401894;11;0,74989648;0,774603175;0,783022774;0,761076605;0,780538302;0,746169772;0,781642512;0,782746722;0,755279503;0,749206349;0,766418219;0,014738726;0,966966967;0,98005698;0,963190184;0,975945017;0,9625;0,984326019;0,985590778;0,975308642;0,983164983;0,967948718;0,974499829;0,008365631;4;0,972935461;0,976157083;0,979958535;0,979591837;0,982758621;0,974965229;0,97826087;0,979016168;0,975928473;0,977350721;0,9776923;0,002685827;0,55704698;0,681440443;0,592105263;0,670184697;0,628398792;0,598006645;0,616766467;0,550632911;0,486891386;0,546583851;0,592805743;0,05667776;10;0,600436681;0,644936709;0,611812905;0,648024316;0,645141066;0,53164557;0,656497865;0,629755435;0,539419087;0,572713643;0,608038328;0,043613372;0,584337349;0,550387597;0,668587896;0,548611111;0,514492754;0,631578947;0,503875969;0,565789474;0,611260054;0,541538462;0,572045961;0,049498477;10;0,611035422;0,574031891;0,607355517;0,519169329;0,55255739;0,621185953;0,5498587;0,600880411;0,647149461;0,582461205;0,586568528;0,036503468;0,809667674;0,840989399;0,863157895;0,82278481;0,886486486;0,830188679;0,852071006;0,831395349;0,803738318;0,773162939;0,831364256;0,03044179;2;0,805512058;0,854663774;0,881201957;0,841881854;0,876521739;0,830256967;0,875089734;0,873622813;0,813080895;0,813476902;0,846530869;0,028102891;0,753164557;0,845938375;0,850574713;0,785714286;0,785942492;0,778135048;0,798798799;0,770186335;0,761363636;0,73964497;0,786946321;0,034732227;2;0,749176126;0,820662768;0,834576271;0,797541823;0,825115056;0,776412776;0,834355828;0,816413159;0,775645268;0,77470841;0,800460749;0,028423775
5;405,2215835;4,224630544;0,486007595;0,014214334;0,2;11;{'dropout': 0.2, 'window': 11};0,78029489;0,807717743;0,757371907;0,795372505;0,781608483;0,755548785;0,749968879;0,76506658;0,737258647;0,734009646;0,766421806;0,023109071;3;0,866232175;0,892056905;0,882611281;0,879501831;0,884712285;0,860721865;0,883177477;0,873105309;0,847335855;0,835729897;0,870518488;0,017091728;0,786335404;0,811180124;0,755279503;0,790062112;0,786335404;0,767701863;0,757763975;0,770186335;0,739130435;0,734161491;0,769813665;0,02289256;2;0,868322981;0,89178744;0,882815735;0,879641132;0,885162181;0,8647343;0,883091787;0,873982057;0,849275362;0,839199448;0,871801242;0,015891225;0,975903614;0,988439306;0,97515528;0,975609756;0,962962963;0,971962617;0,991404011;0,98136646;0,980263158;0,967948718;0,977101588;0,008239062;1;0,998613037;0,997212544;0,995493934;0,996589359;0,998619738;0,995856354;0,99790649;0,997231834;0,99553111;0,992736077;0,996579048;0,001686936;0,720221607;0,68852459;0,631268437;0,715976331;0,719242902;0,706493506;0,666666667;0,592885375;0,572490706;0,526315789;0,654008591;0,066173791;3;0,801257862;0,805646037;0,810861423;0,805731423;0,82566429;0,805186972;0,81851977;0,769539078;0,768754834;0,671146577;0,788230827;0,042819412;0,608365019;0,695384615;0,623853211;0,70694864;0,629370629;0,506437768;0,624561404;0,712765957;0,650793651;0,668380463;0,642686136;0,057572524;8;0,740944882;0,815081967;0,777945619;0,786780384;0,796413896;0,702974445;0,803851641;0,814058276;0,800252845;0,756398675;0,779470263;0,034207972;0,819875776;0,837837838;0,802588997;0,796238245;0,830508475;0,823170732;0,763848397;0,780821918;0,783783784;0,758865248;0,799753941;0,026352262;5;0,913115296;0,930134086;0,927477017;0,913274336;0,90768665;0,91406524;0,912648498;0,89745509;0,860335196;0,887560702;0,906375211;0,019381034;0,777108434;0,828402367;0,75399361;0,782089552;0,765957447;0,7696793;0,703363914;0,757493188;0,698961938;0,748538012;0,758558776;0,035601922;6;0,877229801;0,912209889;0,901278409;0,895133653;0,895176849;0,885526316;0,882960987;0,887242268;0,811805289;0,870807453;0,881937091;0,025974107
6;519,6018952;9,240188238;0,560798836;0,042189172;0,2;15;{'dropout': 0.2, 'window': 15};0,759821622;0,70554293;0,758231091;0,757549842;0,778635872;0,756893129;0,773840629;0,773618239;0,747291338;0,767300352;0,757872505;0,019693266;9;0,89726681;0,772784969;0,920325385;0,909974116;0,924913121;0,909665229;0,917796047;0,925822021;0,907078051;0,887391523;0,897301727;0,043055268;0,765217391;0,730434783;0,759006211;0,754037267;0,78136646;0,756521739;0,78136646;0,773913043;0,744099379;0,768944099;0,761490683;0,015385684;8;0,897584541;0,791718427;0,920496894;0,910973085;0,924913734;0,909454796;0,917322291;0,925879917;0,907246377;0,889717046;0,899530711;0,037559594;0,972972973;0,964285714;0,972307692;0,955631399;0,955974843;0,971608833;0,985590778;0,9875;0,969899666;0,971786834;0,970755873;0,009996894;10;0,996537396;0,981934113;0,998964446;0,997953615;0,995850622;0,995839112;0,998254799;0,998963731;0,999314599;0,987376322;0,995098876;0,005494476;0,691011236;0,367924528;0,603389831;0,660436137;0,680701754;0,620915033;0,684563758;0,673202614;0,622222222;0,699421965;0,630378908;0,092960059;9;0,834104428;0,462493533;0,854144806;0,85585897;0,860382707;0,815626141;0,853773585;0,854896355;0,832242508;0,8321513;0,805567433;0,11518871;0,581818182;0,671834625;0,655367232;0,670926518;0,674772036;0,648809524;0,62116041;0,670807453;0,609467456;0,62283737;0,642780081;0,030547347;7;0,808402753;0,712676056;0,851049192;0,837818182;0,863207547;0,832903226;0,843826087;0,861157578;0,825484765;0,79195669;0,822848207;0,042384981;0,804878049;0,774390244;0,782312925;0,777108434;0,822888283;0,803738318;0,795031056;0,787301587;0,797687861;0,808510638;0,79538474;0,014508862;8;0,929023659;0,887296417;0,95577056;0,942234521;0,958041958;0,957609451;0,950127412;0,960846561;0,945578231;0,927340318;0,941386909;0,021205539;0,748427673;0,749279539;0,777777778;0,723646724;0,758842444;0,739393939;0,782857143;0,749279539;0,737179487;0,733944954;0,750062922;0,017781929;11;0,918265814;0,819524727;0,94169792;0,916005291;0,947082768;0,946348217;0,942998353;0,95324588;0,932770151;0,898132984;0,92160721;0,037765559
7;624,7887562;2,079096141;0,572069788;0,094303198;0,2;19;{'dropout': 0.2, 'window': 19};0,769484068;0,779670558;0,735014195;0,775526713;0,780649294;0,734214233;0,751274375;0,791656331;0,737357254;0,765380487;0,762022751;0,020031313;5;0,950537221;0,96621363;0,945991934;0,948069469;0,928025888;0,928796017;0,943811851;0,956382212;0,929753838;0,935147235;0,94327293;0,012134394;0,768944099;0,782608696;0,737888199;0,772670807;0,782608696;0,739130435;0,757763975;0,792546584;0,739130435;0,763975155;0,763726708;0,018878718;5;0,950310559;0,966183575;0,94589372;0,948516218;0,928364389;0,930020704;0,943547274;0,956383713;0,930848861;0,935679779;0,943574879;0,011788733;0,978723404;0,970414201;0,939759036;0,945945946;0,949044586;0,984326019;0,974358974;0,981595092;0,973509934;0,955696203;0,96533734;0,015384109;11;0,998613037;0,995104895;0,99793246;0,996254682;0,998619738;0,993055556;0,998954339;0,996893338;0,998972251;0,99382716;0,996822746;0,002080236;0,691860465;0,686390533;0,551971326;0,662251656;0,706624606;0,541176471;0,659722222;0,707395498;0,532319392;0,643962848;0,638367502;0,066186092;5;0,907300509;0,930869268;0,887426901;0,886847906;0,866091403;0,82437276;0,89497092;0,902002107;0,826000793;0,87024529;0,879612786;0,032312045;0,631578947;0,648648649;0,650793651;0,717086835;0,657894737;0,639784946;0,662251656;0,716981132;0,661654135;0,664723032;0,665139772;0,027759941;1;0,901486346;0,931525895;0,891121192;0,90171504;0,840568862;0,867359413;0,894158076;0,904778041;0,865013774;0,879339979;0,887706662;0,024232009;0,790540541;0,8;0,761904762;0,794952681;0,827777778;0,792792793;0,745341615;0,788461538;0,788405797;0,819277108;0,790945461;0,022796082;10;0,976923077;0,989747095;0,981014843;0,979535206;0,972746331;0,985886403;0,966773848;0,991071429;0,982492276;0,969614203;0,979580471;0,007764074;0,754716981;0,792899408;0,770642202;0,75739645;0,761904762;0,712990937;0,714697406;0,763848397;0,73089701;0,743243243;0,75032368;0,023879683;10;0,968363136;0,983820998;0,972464273;0,975994513;0,962103107;0,973305955;0,964202074;0,987166146;0,976290098;0,962709545;0,972641985;0,008125295
8;209,5528701;3,402898177;0,358016014;0,014556281;0,5;3;{'dropout': 0.5, 'window': 3};0,763537888;0,748737625;0,740674664;0,754331869;0,716237998;0,760028117;0,729975671;0,740768974;0,727044146;0,720387884;0,740172484;0,015669283;12;0,758820236;0,750677826;0,768354937;0,756867884;0,743990612;0,75922054;0,770691413;0,752732571;0,743214736;0,732559044;0,75371298;0,011096958;0,767701863;0,759006211;0,737888199;0,749068323;0,720496894;0,761490683;0,746583851;0,740372671;0,722981366;0,722981366;0,742857143;0,016120376;12;0,762318841;0,75100069;0,769358178;0,758592133;0,746307798;0,759834369;0,773084886;0,751414769;0,744927536;0,740372671;0,755721187;0,010186635;0,978851964;0,982857143;0,954407295;0,982578397;0,962264151;0,981481481;0,979827089;0,957928803;0,98;0,964401294;0,972459762;0,010722903;6;0,97566064;0,974860335;0,975945017;0,977459016;0,975287156;0,977303989;0,976532399;0,952312139;0,972402044;0,971548999;0,972931174;0,007111485;0,603658537;0,64109589;0,561604585;0,628242075;0,538461538;0,613981763;0,46090535;0,578461538;0,615835777;0,648514851;0,58907619;0,054017539;11;0,626362735;0,639498433;0,646219253;0,611279973;0,558523174;0,575056012;0,545813586;0,619376026;0,620759154;0,637621431;0,608050978;0,033720671;0,561643836;0,483018868;0,518987342;0,585209003;0,598290598;0,565916399;0,602898551;0,574193548;0,512658228;0,455223881;0,545804025;0,047951295;12;0,561762392;0,54108818;0,540812379;0,575502742;0,626989179;0,620140217;0,640449438;0,586909091;0,553422673;0,453437772;0,570051406;0,051631707;0,858108108;0,813186813;0,832116788;0,786440678;0,768292683;0,850299401;0,839285714;0,806557377;0,8;0,78;0,813428756;0,029127689;3;0,843450479;0,805126272;0,859847106;0,820973783;0,782166601;0,836889195;0,864046159;0,814574315;0,803880804;0,818725801;0,824968051;0,024618373;0,815426997;0,823529412;0,83625731;0,789189189;0,71388102;0,788461538;0,766961652;0,786703601;0,726726727;0,753799392;0,780093684;0,038186238;3;0,786864932;0,792815908;0,818950931;0,799123905;0,776986951;0,786713287;0,826615483;0,790491284;0,765609007;0,781461217;0,79256329;0,01749961
9;426,3540894;7,818888713;0,586398602;0,102389499;0,5;11;{'dropout': 0.5, 'window': 11};0,771489413;0,786577017;0,756646578;0,783442931;0,756447099;0,761050632;0,764143587;0,740389857;0,708997606;0,763591093;0,759277581;0,021032204;7;0,860356769;0,843463193;0,865124468;0,845279003;0,830576423;0,846458725;0,872647909;0,828484136;0,798765191;0,848611252;0,843976707;0,020076951;0,773913043;0,792546584;0,756521739;0,778881988;0,755279503;0,767701863;0,770186335;0,745341615;0,718012422;0,761490683;0,761987578;0,019358167;7;0,861835749;0,843616287;0,865148378;0,846100759;0,830917874;0,848309179;0,871635611;0,831055901;0,805797101;0,849275362;0,84536922;0,018328828;0,978978979;0,976878613;0,96;0,975778547;0,961538462;0,975308642;0,988505747;0,987730061;0,986666667;0,962264151;0,975364987;0,010333036;3;0,996880416;0,989466292;0,996549344;0,996241886;0,982359045;0,996537396;0,995449772;0,993793103;0,993508712;0,996899759;0,993768573;0,004388459;0,586572438;0,701949861;0,6125;0,704761905;0,682926829;0,711688312;0,659863946;0,608058608;0,411764706;0,676217765;0,635630437;0,085587116;6;0,726682887;0,764351411;0,779899497;0,762916819;0,748031496;0,780544975;0,777584407;0,720156556;0,596738651;0,760736196;0,74176429;0,052273238;0,657458564;0,610294118;0,642642643;0,731707317;0,654761905;0,559055118;0,66031746;0,690607735;0,601583113;0,6375;0,644592797;0,045408761;6;0,789910979;0,730075188;0,765167737;0,757375911;0,762311228;0,700204499;0,782463186;0,772545399;0,707512315;0,731584621;0,749915106;0,029346069;0,834437086;0,832786885;0,773972603;0,754966887;0,754716981;0,798722045;0,780780781;0,757834758;0,793650794;0,78807947;0,786994829;0,02767099;12;0,904396371;0,884175084;0,905940594;0,871566444;0,821138211;0,884187082;0,915180197;0,860093897;0,870630631;0,889445438;0,880675395;0,025778352;0,8;0,81097561;0,794117647;0,75;0,728291317;0,760479042;0,73125;0,657718121;0,751322751;0,753894081;0,753804857;0,041815214;8;0,883913193;0,849247989;0,878065166;0,838293955;0,839042134;0,870819672;0,892561983;0,795831725;0,825435647;0,864390244;0,853760171;0,028361437
